image,condition,distortion,detector,iou
GOPR0475_frame_000209_rgb_anon.png,fog,noisy,canny_proj3,0.0388
GOPR0475_frame_000209_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.1180
GOPR0475_frame_000209_rgb_anon.png,fog,blurred,sobel_p75,0.4337
GOPR0475_frame_000209_rgb_anon.png,fog,blurred,canny_proj3,0.1803
GOPR0475_frame_000209_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.2133
GOPR0475_frame_000209_rgb_anon.png,fog,lowcontrast,sobel_p75,0.7804
GOPR0475_frame_000209_rgb_anon.png,fog,lowcontrast,canny_proj3,0.8865
GOPR0475_frame_000209_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8314
GOPR0475_frame_000215_rgb_anon.png,fog,noisy,sobel_p75,0.2196
GOPR0475_frame_000215_rgb_anon.png,fog,noisy,canny_proj3,0.0845
GOPR0475_frame_000215_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.2762
GOPR0475_frame_000215_rgb_anon.png,fog,blurred,sobel_p75,0.4633
GOPR0475_frame_000215_rgb_anon.png,fog,blurred,canny_proj3,0.2348
GOPR0475_frame_000215_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.2551
GOPR0475_frame_000215_rgb_anon.png,fog,lowcontrast,sobel_p75,0.7721
GOPR0475_frame_000215_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9229
GOPR0475_frame_000215_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8718
GOPR0475_frame_000235_rgb_anon.png,fog,noisy,sobel_p75,0.2721
GOPR0475_frame_000235_rgb_anon.png,fog,noisy,canny_proj3,0.2198
GOPR0475_frame_000235_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.4499
GOPR0475_frame_000235_rgb_anon.png,fog,blurred,sobel_p75,0.5480
GOPR0475_frame_000235_rgb_anon.png,fog,blurred,canny_proj3,0.2924
GOPR0475_frame_000235_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.3106
GOPR0475_frame_000235_rgb_anon.png,fog,lowcontrast,sobel_p75,0.8811
GOPR0475_frame_000235_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9362
GOPR0475_frame_000235_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8946
GOPR0351_frame_000159_rgb_anon.png,night,noisy,sobel_p75,0.2307
GOPR0351_frame_000159_rgb_anon.png,night,noisy,canny_proj3,0.0862
GOPR0351_frame_000159_rgb_anon.png,night,noisy,canny_proj3_preblur,0.3238
GOPR0351_frame_000159_rgb_anon.png,night,blurred,sobel_p75,0.4385
GOPR0351_frame_000159_rgb_anon.png,night,blurred,canny_proj3,0.2492
GOPR0351_frame_000159_rgb_anon.png,night,blurred,canny_proj3_preblur,0.2562
GOPR0351_frame_000159_rgb_anon.png,night,lowcontrast,sobel_p75,0.6691
GOPR0351_frame_000159_rgb_anon.png,night,lowcontrast,canny_proj3,0.8738
GOPR0351_frame_000159_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.8528
GOPR0351_frame_000161_rgb_anon.png,night,noisy,sobel_p75,0.2749
GOPR0351_frame_000161_rgb_anon.png,night,noisy,canny_proj3,0.1724
GOPR0351_frame_000161_rgb_anon.png,night,noisy,canny_proj3_preblur,0.3991
GOPR0351_frame_000161_rgb_anon.png,night,blurred,sobel_p75,0.4431
GOPR0351_frame_000161_rgb_anon.png,night,blurred,canny_proj3,0.1603
GOPR0351_frame_000161_rgb_anon.png,night,blurred,canny_proj3_preblur,0.1737
GOPR0351_frame_000161_rgb_anon.png,night,lowcontrast,sobel_p75,0.5890
GOPR0351_frame_000161_rgb_anon.png,night,lowcontrast,canny_proj3,0.9309
GOPR0351_frame_000161_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.8817
GOPR0351_frame_000165_rgb_anon.png,night,noisy,sobel_p75,0.2617
GOPR0351_frame_000165_rgb_anon.png,night,noisy,canny_proj3,0.1185
GOPR0351_frame_000165_rgb_anon.png,night,noisy,canny_proj3_preblur,0.3658
GOPR0351_frame_000165_rgb_anon.png,night,blurred,sobel_p75,0.4859
GOPR0351_frame_000165_rgb_anon.png,night,blurred,canny_proj3,0.1764
GOPR0351_frame_000165_rgb_anon.png,night,blurred,canny_proj3_preblur,0.1912
GOPR0351_frame_000165_rgb_anon.png,night,lowcontrast,sobel_p75,0.7121
GOPR0351_frame_000165_rgb_anon.png,night,lowcontrast,canny_proj3,0.9057
GOPR0351_frame_000165_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.8613
GOPR0351_frame_000167_rgb_anon.png,night,noisy,sobel_p75,0.2720
GOPR0351_frame_000167_rgb_anon.png,night,noisy,canny_proj3,0.0973
GOPR0351_frame_000167_rgb_anon.png,night,noisy,canny_proj3_preblur,0.3051
GOPR0351_frame_000167_rgb_anon.png,night,blurred,sobel_p75,0.4491
GOPR0351_frame_000167_rgb_anon.png,night,blurred,canny_proj3,0.2172
GOPR0351_frame_000167_rgb_anon.png,night,blurred,canny_proj3_preblur,0.2239
GOPR0351_frame_000167_rgb_anon.png,night,lowcontrast,sobel_p75,0.6480
GOPR0351_frame_000167_rgb_anon.png,night,lowcontrast,canny_proj3,0.8982
GOPR0351_frame_000167_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.8382
GOPR0351_frame_000169_rgb_anon.png,night,noisy,sobel_p75,0.2311
GOPR0351_frame_000169_rgb_anon.png,night,noisy,canny_proj3,0.1030
GOPR0351_frame_000169_rgb_anon.png,night,noisy,canny_proj3_preblur,0.2546
GOPR0351_frame_000169_rgb_anon.png,night,blurred,sobel_p75,0.4279
GOPR0351_frame_000169_rgb_anon.png,night,blurred,canny_proj3,0.2406
GOPR0351_frame_000169_rgb_anon.png,night,blurred,canny_proj3_preblur,0.2478
GOPR0351_frame_000169_rgb_anon.png,night,lowcontrast,sobel_p75,0.7802
GOPR0351_frame_000169_rgb_anon.png,night,lowcontrast,canny_proj3,0.9057
GOPR0351_frame_000169_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.8447
GOPR0351_frame_000173_rgb_anon.png,night,noisy,sobel_p75,0.2405
GOPR0351_frame_000173_rgb_anon.png,night,noisy,canny_proj3,0.1218
GOPR0351_frame_000173_rgb_anon.png,night,noisy,canny_proj3_preblur,0.3448
GOPR0351_frame_000173_rgb_anon.png,night,blurred,sobel_p75,0.4282
GOPR0351_frame_000173_rgb_anon.png,night,blurred,canny_proj3,0.1907
GOPR0351_frame_000173_rgb_anon.png,night,blurred,canny_proj3_preblur,0.1955
GOPR0351_frame_000173_rgb_anon.png,night,lowcontrast,sobel_p75,0.6985
GOPR0351_frame_000173_rgb_anon.png,night,lowcontrast,canny_proj3,0.9125
GOPR0351_frame_000173_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.8428
GOPR0351_frame_000177_rgb_anon.png,night,noisy,sobel_p75,0.2308
GOPR0351_frame_000177_rgb_anon.png,night,noisy,canny_proj3,0.0655
GOPR0351_frame_000177_rgb_anon.png,night,noisy,canny_proj3_preblur,0.2630
GOPR0351_frame_000177_rgb_anon.png,night,blurred,sobel_p75,0.4477
GOPR0351_frame_000177_rgb_anon.png,night,blurred,canny_proj3,0.2347
GOPR0351_frame_000177_rgb_anon.png,night,blurred,canny_proj3_preblur,0.2459
GOPR0351_frame_000177_rgb_anon.png,night,lowcontrast,sobel_p75,0.7151
GOPR0351_frame_000177_rgb_anon.png,night,lowcontrast,canny_proj3,0.8975
GOPR0351_frame_000177_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.8322
GOPR0351_frame_000179_rgb_anon.png,night,noisy,sobel_p75,0.2334
GOPR0351_frame_000179_rgb_anon.png,night,noisy,canny_proj3,0.1326
GOPR0351_frame_000179_rgb_anon.png,night,noisy,canny_proj3_preblur,0.3064
GOPR0351_frame_000179_rgb_anon.png,night,blurred,sobel_p75,0.4730
GOPR0351_frame_000179_rgb_anon.png,night,blurred,canny_proj3,0.2165
GOPR0351_frame_000179_rgb_anon.png,night,blurred,canny_proj3_preblur,0.2237
GOPR0351_frame_000179_rgb_anon.png,night,lowcontrast,sobel_p75,0.6403
GOPR0351_frame_000179_rgb_anon.png,night,lowcontrast,canny_proj3,0.9016
GOPR0351_frame_000179_rgb_anon.png,night,lowcontrast,canny_proj3_preblur,0.8472
GOPR0351_frame_000181_rgb_anon.png,night,noisy,sobel_p75,0.2308
GOPR0351_frame_000181_rgb_anon.png,night,noisy,canny_proj3,0.1434
