image,condition,distortion,detector,score_iou_or_ari
GP020478_frame_000171_rgb_anon.png,fog,noisy,canny_proj3,0.1630
GP020478_frame_000171_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.3208
GP020478_frame_000171_rgb_anon.png,fog,noisy,texture_seg,0.9106
GP020478_frame_000171_rgb_anon.png,fog,blurred,sobel_p75,0.6078
GP020478_frame_000171_rgb_anon.png,fog,blurred,canny_proj3,0.2308
GP020478_frame_000171_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.2285
GP020478_frame_000171_rgb_anon.png,fog,blurred,texture_seg,0.7232
GP020478_frame_000171_rgb_anon.png,fog,lowcontrast,sobel_p75,0.9477
GP020478_frame_000171_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9325
GP020478_frame_000171_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8939
GP020478_frame_000171_rgb_anon.png,fog,lowcontrast,texture_seg,0.8933
GP020478_frame_000184_rgb_anon.png,fog,noisy,sobel_p75,0.2527
GP020478_frame_000184_rgb_anon.png,fog,noisy,canny_proj3,0.0883
GP020478_frame_000184_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.2030
GP020478_frame_000184_rgb_anon.png,fog,noisy,texture_seg,0.9274
GP020478_frame_000184_rgb_anon.png,fog,blurred,sobel_p75,0.5630
GP020478_frame_000184_rgb_anon.png,fog,blurred,canny_proj3,0.2097
GP020478_frame_000184_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.2264
GP020478_frame_000184_rgb_anon.png,fog,blurred,texture_seg,0.8812
GP020478_frame_000184_rgb_anon.png,fog,lowcontrast,sobel_p75,0.8828
GP020478_frame_000184_rgb_anon.png,fog,lowcontrast,canny_proj3,0.8998
GP020478_frame_000184_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8515
GP020478_frame_000184_rgb_anon.png,fog,lowcontrast,texture_seg,0.8809
GOPR0351_frame_000167_rgb_anon.png,night,noisy,sobel_p75,0.2692
GOPR0351_frame_000167_rgb_anon.png,night,noisy,canny_proj3,0.1132
GOPR0351_frame_000167_rgb_anon.png,night,noisy,canny_proj3_preblur,0.3100
GOPR0351_frame_000167_rgb_anon.png,night,noisy,texture_seg,0.7266
GOPR0351_frame_000167_rgb_anon.png,night,blurred,sobel_p75,0.4491
GOPR0351_frame_000167_rgb_anon.png,night,blurred,canny_proj3,0.2172
